"Planet Name","Pl. Mass","Pl. Radius","Pl. Period","Pl. Semi-axis","Pl. Ecc.","Pl. Incl.","Ang. Dist.","St. Dist","St. Spec. Type","St. Mass","St. [Fe/H]","St. Right Asc.","St. Decli.","St. Mag. V.","St. Mag. I","St. Mag. H","St. Mag. J","St. Mag. K","St. Radius",
"HAT-P-4 b","0.68","1.27","3.0565114","0.0446","0.0","89.67","0.000144","310","F","1.26","0.24","15 19 58","+36 13 47","11.2",,,,,"1.59",
"HAT-P-5 b","1.06","1.26","2.788491","0.04075","0.0","86.75","0.00012","340",,"1.16","0.24","18 17 37","+36 37 18","12","11.3",,,,"1.167",
"HAT-P-6 b","1.057","1.33","3.852985","0.05235","0.0","85.51","0.000262","200","F","1.29","-0.13","23 39 06","+42 27 58","10.5","10.6",,,,"1.46",
"HAT-P-7 b","1.8","1.421","2.2047298","0.0379","0.0","84.1","0.000118","320",,"1.47","0.26","19 28 59","+47 58 10","10.5",,,,,"1.84",
"HAT-P-8 b","1.52","1.5","3.07632","0.0487","0.0","87.8","0.000212","230",,"1.28","0.01","22 52 10","+35 26 50","10.17",,,,,"1.58",
"HAT-P-9 b","0.78","1.4","3.922814","0.053","0.0","86.5","0.00011","480","F","1.28","0.12","07 20 40","+37 08 26",,,"11.04","11.27","11.02","1.32",
"HD 100777 b","1.16",,"383.7","1.03","0.36",,"0.019508","52.8","K0","1","0.27","11 35 52","-04 45 21","8.42",,,,,,
"HD 10180 c","0.041217",,"5.75979","0.0641","0.045",,"0.001603","40","G1V",,"0.08","01 37 54","-60 30 42","7.33",,,,,,
"HD 10180 d","0.03696945",,"16.3579","0.1286","0.088",,"0.003215","40","G1V",,"0.08","01 37 54","-60 30 42","7.33",,,,,,
"HD 10180 e","0.07897304",,"49.745","0.2699","0.026",,"0.006748","40","G1V",,"0.08","01 37 54","-60 30 42","7.33",,,,,,
"HD 10180 f","0.07519743",,"122.76","0.4929","0.135",,"0.012323","40","G1V",,"0.08","01 37 54","-60 30 42","7.33",,,,,,
"HD 10180 g","0.06733159",,"601.2","1.422","0.19",,"0.03555","40","G1V",,"0.08","01 37 54","-60 30 42","7.33",,,,,,
"HD 10180 h","0.202624",,"2222","3.4","0.08",,"0.085","40","G1V",,"0.08","01 37 54","-60 30 42","7.33",,,,,,
"HD 101930 b","0.3",,"70.46","0.302","0.11",,"0.01","30.49","K1 V","0.74","0.17","11 43 30","-58 00 24","8.21",,,,,,
"HD 102117 b","0.172",,"20.67","0.1532","0.106",,"0.003648","42","G6V","0.95","0.18","11 44 50","-58 42 13","7.47",,,,,"1.27",
"HD 102195 b","0.45",,"4.113775","0.049","0.0",,"0.001691","28.98","K0V","0.926","0.05","11 45 42","+02 49 17","8.05",,,,,"0.835",
"HD 102272 b","5.9",,"127.58","0.614","0.05",,"0.001706","360","K0","1.9","0.26","11 46 24","+14 07 26","8.71",,"6.4","6.9","6.26","10.1",
"HD 102272 c","2.6",,"520","1.57","0.68",,"0.004361","360","K0","1.9","0.26","11 46 24","+14 07 26","8.71",,"6.4","6.9","6.26","10.1",
"HD 102956 b","0.96",,"6.495","0.081","0.048",,"0.000643","126","A","1.68","0.19","11 51 23","+57 38 27","8",,,,,"4.4",
